Indicateur,Nouveau_nom_indicateur,Thématique,Source,Groupe,Description
Artificialisation des espaces NAF (ha),Artificialisation des espaces NAF (ha),Bâtiment,OEB,0,
Émissions de CH4 tout secteur confondu (TeqCO2/an),Émissions de CH4 tout secteur confondu (TeqCO2/an),Transverse,OEB  / Terristory,0,
Émissions de CH4 par le secteur de l'agriculture (TeqCO2/an),Émissions de CH4 du secteur de l'agriculture (TeqCO2/an),Agriculture;Transverse,OEB  / Terristory,1,
Émissions de CH4 par le secteur des déchets (TeqCO2/an),Émissions de CH4 du secteur des déchets (TeqCO2/an),Économie Circulaire;Transverse,OEB  / Terristory,1,
Émissions de CH4 par le secteur de l'énergie (TeqCO2/an),Émissions de CH4 du secteur de l'énergie (TeqCO2/an),Énergie;Transverse,OEB  / Terristory,1,
Émissions de CH4 par le secteur de l'industrie (TeqCO2/an),Émissions de CH4 du secteur de l'industrie (TeqCO2/an),Industrie;Transverse,OEB  / Terristory,1,
Émissions de CH4 par le secteur résidentiel (TeqCO2/an),Émissions de CH4 du secteur résidentiel (TeqCO2/an),Bâtiment;Transverse,OEB  / Terristory,1,
Émissions de CH4 par le secteur tertiaire (TeqCO2/an),Émissions de CH4 du secteur tertiaire (TeqCO2/an),Bâtiment;Transverse,OEB  / Terristory,1,
Émissions de CH4 par le secteur des transports (TeqCO2/an),Émissions de CH4 du secteur des transports (TeqCO2/an),Transports;Transverse,OEB  / Terristory,1,
Émissions de CO2 direct tout secteur confondu (TeqCO2/an),Émissions de CO2 direct tout secteur confondu (TeqCO2/an),Transverse,OEB  / Terristory,0,
Émissions de CO2 direct par le secteur de l'agriculture (TeqCO2/an),Émissions de CO2 direct du secteur de l'agriculture (TeqCO2/an),Agriculture;Transverse,OEB  / Terristory,2,
Émissions de CO2 direct par le secteur des déchets (TeqCO2/an),Émissions de CO2 direct du secteur des déchets (TeqCO2/an),Économie Circulaire;Transverse,OEB  / Terristory,2,
Émissions de CO2 direct par le secteur de l'énergie (TeqCO2/an),Émissions de CO2 direct du secteur de l'énergie (TeqCO2/an),Énergie;Transverse,OEB  / Terristory,2,
Émissions de CO2 direct par le secteur de l'industrie (TeqCO2/an),Émissions de CO2 direct du secteur de l'industrie (TeqCO2/an),Industrie;Transverse,OEB  / Terristory,2,
Émissions de CO2 direct par le secteur résidentiel (TeqCO2/an),Émissions de CO2 direct du secteur résidentiel (TeqCO2/an),Bâtiment;Transverse,OEB  / Terristory,2,
Émissions de CO2 direct par le secteur tertiaire (TeqCO2/an),Émissions de CO2 direct du secteur tertiaire (TeqCO2/an),Bâtiment;Transverse,OEB  / Terristory,2,
Émissions de CO2 direct par le secteur des transports (TeqCO2/an),Émissions de CO2 direct du secteur des transports (TeqCO2/an),Transports;Transverse,OEB  / Terristory,2,
Émissions de CO2 indirect tout secteur confondu (TeqCO2/an),Émissions de CO2 indirect tout secteur confondu (TeqCO2/an),Transverse,OEB  / Terristory,0,
Émissions de CO2 indirect par le secteur de l'agriculture (TeqCO2/an),Émissions de CO2 indirect du secteur de l'agriculture (TeqCO2/an),Agriculture;Transverse,OEB  / Terristory,3,
Émissions de CO2 indirect par le secteur de l'industrie (TeqCO2/an),Émissions de CO2 indirect du secteur de l'industrie (TeqCO2/an),Industrie;Transverse,OEB  / Terristory,3,
Émissions de CO2 indirect par le secteur résidentiel (TeqCO2/an),Émissions de CO2 indirect du secteur résidentiel (TeqCO2/an),Bâtiment;Transverse,OEB  / Terristory,3,
Émissions de CO2 indirect par le secteur tertiaire (TeqCO2/an),Émissions de CO2 indirect du secteur tertiaire (TeqCO2/an),Bâtiment;Transverse,OEB  / Terristory,3,
Émissions de CO2 indirect par le secteur des transports (TeqCO2/an),Émissions de CO2 indirect du secteur des transports (TeqCO2/an),Transports;Transverse,OEB  / Terristory,3,
Consommation électrique annuelle du territoire (MWh / an) ,Consommation électrique annuelle du territoire (MWh / an) ,Énergie,OEB,0,
Qualité écologique globale des cours d’eau (de 1 à 5),Qualité écologique globale des cours d’eau (de 1 à 5),Eau,OEB,0,
Émissions de Fluorés tout secteur confondu (TeqCO2/an),Émissions de Fluorés tout secteur confondu (TeqCO2/an),Transverse,OEB  / Terristory,0,
Émissions de Fluorés par le secteur des déchets (TeqCO2/an),Émissions de Fluorés du secteur des déchets (TeqCO2/an),Économie Circulaire;Transverse,OEB  / Terristory,4,
Émissions de Fluorés par le secteur de l'industrie (TeqCO2/an),Émissions de Fluorés du secteur de l'industrie (TeqCO2/an),Industrie;Transverse,OEB  / Terristory,4,
Émissions de Fluorés par le secteur résidentiel (TeqCO2/an),Émissions de Fluorés du secteur résidentiel (TeqCO2/an),Bâtiment;Transverse,OEB  / Terristory,4,
Émissions de Fluorés par le secteur tertiaire (TeqCO2/an),Émissions de Fluorés du secteur tertiaire (TeqCO2/an),Bâtiment;Transverse,OEB  / Terristory,4,
Émissions de Fluorés par le secteur des transports (TeqCO2/an),Émissions de Fluorés du secteur des transports (TeqCO2/an),Transports;Transverse,OEB  / Terristory,4,
Émissions de GES par le secteur de l'agriculture (TeqCO2/an),Émissions de GES du secteur de l'agriculture (TeqCO2/an),Agriculture;Transverse,OEB  / Terristory,5,
Émissions de GES par le secteur des déchets (TeqCO2/an),Émissions de GES du secteur des déchets (TeqCO2/an),Économie Circulaire;Transverse,OEB  / Terristory,5,
