libelle_commune,code_commune,date,indicateur,valeur
Acigné,35001,01/01/2022,Points de recharge pour véhicules électriques,2.0
Acigné,35001,01/01/2023,Points de recharge pour véhicules électriques,2.0
Acigné,35001,01/01/2024,Points de recharge pour véhicules électriques,0.0
Acigné,35001,01/01/2025,Points de recharge pour véhicules électriques,2.0
Allaire,56001,01/01/2022,Points de recharge pour véhicules électriques,0.0
Allaire,56001,01/01/2023,Points de recharge pour véhicules électriques,4.0
Allaire,56001,01/01/2024,Points de recharge pour véhicules électriques,10.0
Allaire,56001,01/01/2025,Points de recharge pour véhicules électriques,10.0
Allineuc,22001,01/01/2022,Points de recharge pour véhicules électriques,0.0
Allineuc,22001,01/01/2023,Points de recharge pour véhicules électriques,0.0
Allineuc,22001,01/01/2024,Points de recharge pour véhicules électriques,0.0
Allineuc,22001,01/01/2025,Points de recharge pour véhicules électriques,0.0
Amanlis,35002,01/01/2022,Points de recharge pour véhicules électriques,0.0
Amanlis,35002,01/01/2023,Points de recharge pour véhicules électriques,0.0
Amanlis,35002,01/01/2024,Points de recharge pour véhicules électriques,0.0
Amanlis,35002,01/01/2025,Points de recharge pour véhicules électriques,0.0
Ambon,56002,01/01/2022,Points de recharge pour véhicules électriques,0.0
Ambon,56002,01/01/2023,Points de recharge pour véhicules électriques,0.0
Ambon,56002,01/01/2024,Points de recharge pour véhicules électriques,0.0
Ambon,56002,01/01/2025,Points de recharge pour véhicules électriques,0.0
Andel,22002,01/01/2022,Points de recharge pour véhicules électriques,0.0
Andel,22002,01/01/2023,Points de recharge pour véhicules électriques,0.0
Andel,22002,01/01/2024,Points de recharge pour véhicules électriques,4.0
Andel,22002,01/01/2025,Points de recharge pour véhicules électriques,4.0
Andouillé-Neuville,35003,01/01/2022,Points de recharge pour véhicules électriques,0.0
Andouillé-Neuville,35003,01/01/2023,Points de recharge pour véhicules électriques,0.0
Andouillé-Neuville,35003,01/01/2024,Points de recharge pour véhicules électriques,0.0
Andouillé-Neuville,35003,01/01/2025,Points de recharge pour véhicules électriques,0.0
Arbrissel,35005,01/01/2022,Points de recharge pour véhicules électriques,0.0
Arbrissel,35005,01/01/2023,Points de recharge pour véhicules électriques,0.0
Arbrissel,35005,01/01/2024,Points de recharge pour véhicules électriques,0.0
Arbrissel,35005,01/01/2025,Points de recharge pour véhicules électriques,0.0
Argentré-du-Plessis,35006,01/01/2022,Points de recharge pour véhicules électriques,2.0
Argentré-du-Plessis,35006,01/01/2023,Points de recharge pour véhicules électriques,2.0
Argentré-du-Plessis,35006,01/01/2024,Points de recharge pour véhicules électriques,0.0
Argentré-du-Plessis,35006,01/01/2025,Points de recharge pour véhicules électriques,2.0
Argol,29001,01/01/2022,Points de recharge pour véhicules électriques,0.0
Argol,29001,01/01/2023,Points de recharge pour véhicules électriques,2.0
Argol,29001,01/01/2024,Points de recharge pour véhicules électriques,2.0
Argol,29001,01/01/2025,Points de recharge pour véhicules électriques,2.0
Arradon,56003,01/01/2022,Points de recharge pour véhicules électriques,0.0
Arradon,56003,01/01/2023,Points de recharge pour véhicules électriques,10.0
Arradon,56003,01/01/2024,Points de recharge pour véhicules électriques,10.0
Arradon,56003,01/01/2025,Points de recharge pour véhicules électriques,12.0
Arzal,56004,01/01/2022,Points de recharge pour véhicules électriques,0.0
Arzal,56004,01/01/2023,Points de recharge pour véhicules électriques,8.0
Arzal,56004,01/01/2024,Points de recharge pour véhicules électriques,8.0
Arzal,56004,01/01/2025,Points de recharge pour véhicules électriques,9.0
Arzano,29002,01/01/2022,Points de recharge pour véhicules électriques,0.0
Arzano,29002,01/01/2023,Points de recharge pour véhicules électriques,2.0
Arzano,29002,01/01/2024,Points de recharge pour véhicules électriques,2.0
Arzano,29002,01/01/2025,Points de recharge pour véhicules électriques,2.0
Arzon,56005,01/01/2022,Points de recharge pour véhicules électriques,0.0
Arzon,56005,01/01/2023,Points de recharge pour véhicules électriques,8.0
Arzon,56005,01/01/2024,Points de recharge pour véhicules électriques,15.0
Arzon,56005,01/01/2025,Points de recharge pour véhicules électriques,19.0
Aubigné,35007,01/01/2022,Points de recharge pour véhicules électriques,0.0
Aubigné,35007,01/01/2023,Points de recharge pour véhicules électriques,0.0
Aubigné,35007,01/01/2024,Points de recharge pour véhicules électriques,0.0
Aubigné,35007,01/01/2025,Points de recharge pour véhicules électriques,0.0
Aucaleuc,22003,01/01/2022,Points de recharge pour véhicules électriques,0.0
Aucaleuc,22003,01/01/2023,Points de recharge pour véhicules électriques,0.0
Aucaleuc,22003,01/01/2024,Points de recharge pour véhicules électriques,0.0
Aucaleuc,22003,01/01/2025,Points de recharge pour véhicules électriques,0.0
Audierne,29003,01/01/2022,Points de recharge pour véhicules électriques,0.0
Audierne,29003,01/01/2023,Points de recharge pour véhicules électriques,4.0
Audierne,29003,01/01/2024,Points de recharge pour véhicules électriques,6.0
Audierne,29003,01/01/2025,Points de recharge pour véhicules électriques,4.0
Augan,56006,01/01/2022,Points de recharge pour véhicules électriques,0.0
Augan,56006,01/01/2023,Points de recharge pour véhicules électriques,4.0
Augan,56006,01/01/2024,Points de recharge pour véhicules électriques,4.0
Augan,56006,01/01/2025,Points de recharge pour véhicules électriques,4.0
Auray,56007,01/01/2022,Points de recharge pour véhicules électriques,0.0
Auray,56007,01/01/2023,Points de recharge pour véhicules électriques,14.0
Auray,56007,01/01/2024,Points de recharge pour véhicules électriques,18.0
Auray,56007,01/01/2025,Points de recharge pour véhicules électriques,55.0
Availles-sur-Seiche,35008,01/01/2022,Points de recharge pour véhicules électriques,0.0
Availles-sur-Seiche,35008,01/01/2023,Points de recharge pour véhicules électriques,0.0
Availles-sur-Seiche,35008,01/01/2024,Points de recharge pour véhicules électriques,0.0
Availles-sur-Seiche,35008,01/01/2025,Points de recharge pour véhicules électriques,0.0
Baden,56008,01/01/2022,Points de recharge pour véhicules électriques,0.0
Baden,56008,01/01/2023,Points de recharge pour véhicules électriques,8.0
Baden,56008,01/01/2024,Points de recharge pour véhicules électriques,12.0
Baden,56008,01/01/2025,Points de recharge pour véhicules électriques,12.0
Baguer-Morvan,35009,01/01/2022,Points de recharge pour véhicules électriques,0.0
Baguer-Morvan,35009,01/01/2023,Points de recharge pour véhicules électriques,0.0
Baguer-Morvan,35009,01/01/2024,Points de recharge pour véhicules électriques,0.0
Baguer-Morvan,35009,01/01/2025,Points de recharge pour véhicules électriques,0.0
Baguer-Pican,35010,01/01/2022,Points de recharge pour véhicules électriques,0.0
Baguer-Pican,35010,01/01/2023,Points de recharge pour véhicules électriques,0.0
Baguer-Pican,35010,01/01/2024,Points de recharge pour véhicules électriques,0.0
Baguer-Pican,35010,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bain-de-Bretagne,35012,01/01/2022,Points de recharge pour véhicules électriques,4.0
Bain-de-Bretagne,35012,01/01/2023,Points de recharge pour véhicules électriques,8.0
Bain-de-Bretagne,35012,01/01/2024,Points de recharge pour véhicules électriques,17.0
Bain-de-Bretagne,35012,01/01/2025,Points de recharge pour véhicules électriques,26.0
Bains-sur-Oust,35013,01/01/2022,Points de recharge pour véhicules électriques,2.0
Bains-sur-Oust,35013,01/01/2023,Points de recharge pour véhicules électriques,2.0
Bains-sur-Oust,35013,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bains-sur-Oust,35013,01/01/2025,Points de recharge pour véhicules électriques,2.0
Bais,35014,01/01/2022,Points de recharge pour véhicules électriques,2.0
Bais,35014,01/01/2023,Points de recharge pour véhicules électriques,2.0
Bais,35014,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bais,35014,01/01/2025,Points de recharge pour véhicules électriques,2.0
Balazé,35015,01/01/2022,Points de recharge pour véhicules électriques,0.0
Balazé,35015,01/01/2023,Points de recharge pour véhicules électriques,0.0
Balazé,35015,01/01/2024,Points de recharge pour véhicules électriques,0.0
Balazé,35015,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bangor,56009,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bangor,56009,01/01/2023,Points de recharge pour véhicules électriques,0.0
Bangor,56009,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bangor,56009,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bannalec,29004,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bannalec,29004,01/01/2023,Points de recharge pour véhicules électriques,4.0
Bannalec,29004,01/01/2024,Points de recharge pour véhicules électriques,7.0
Bannalec,29004,01/01/2025,Points de recharge pour véhicules électriques,10.0
Baud,56010,01/01/2022,Points de recharge pour véhicules électriques,0.0
Baud,56010,01/01/2023,Points de recharge pour véhicules électriques,8.0
Baud,56010,01/01/2024,Points de recharge pour véhicules électriques,16.0
Baud,56010,01/01/2025,Points de recharge pour véhicules électriques,13.0
Baulon,35016,01/01/2022,Points de recharge pour véhicules électriques,0.0
Baulon,35016,01/01/2023,Points de recharge pour véhicules électriques,0.0
Baulon,35016,01/01/2024,Points de recharge pour véhicules électriques,0.0
Baulon,35016,01/01/2025,Points de recharge pour véhicules électriques,0.0
Baye,29005,01/01/2022,Points de recharge pour véhicules électriques,0.0
Baye,29005,01/01/2023,Points de recharge pour véhicules électriques,2.0
Baye,29005,01/01/2024,Points de recharge pour véhicules électriques,2.0
Baye,29005,01/01/2025,Points de recharge pour véhicules électriques,2.0
Bazouges-la-Pérouse,35019,01/01/2022,Points de recharge pour véhicules électriques,2.0
Bazouges-la-Pérouse,35019,01/01/2023,Points de recharge pour véhicules électriques,2.0
Bazouges-la-Pérouse,35019,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bazouges-la-Pérouse,35019,01/01/2025,Points de recharge pour véhicules électriques,2.0
Beaucé,35021,01/01/2022,Points de recharge pour véhicules électriques,0.0
Beaucé,35021,01/01/2023,Points de recharge pour véhicules électriques,0.0
Beaucé,35021,01/01/2024,Points de recharge pour véhicules électriques,2.0
Beaucé,35021,01/01/2025,Points de recharge pour véhicules électriques,0.0
Beaussais-sur-Mer,22209,01/01/2022,Points de recharge pour véhicules électriques,0.0
Beaussais-sur-Mer,22209,01/01/2023,Points de recharge pour véhicules électriques,2.0
Beaussais-sur-Mer,22209,01/01/2024,Points de recharge pour véhicules électriques,2.0
Beaussais-sur-Mer,22209,01/01/2025,Points de recharge pour véhicules électriques,2.0
Beignon,56012,01/01/2022,Points de recharge pour véhicules électriques,0.0
Beignon,56012,01/01/2023,Points de recharge pour véhicules électriques,0.0
Beignon,56012,01/01/2024,Points de recharge pour véhicules électriques,0.0
Beignon,56012,01/01/2025,Points de recharge pour véhicules électriques,0.0
Belle-Isle-en-Terre,22005,01/01/2022,Points de recharge pour véhicules électriques,0.0
Belle-Isle-en-Terre,22005,01/01/2023,Points de recharge pour véhicules électriques,2.0
Belle-Isle-en-Terre,22005,01/01/2024,Points de recharge pour véhicules électriques,2.0
Belle-Isle-en-Terre,22005,01/01/2025,Points de recharge pour véhicules électriques,2.0
Belz,56013,01/01/2022,Points de recharge pour véhicules électriques,0.0
Belz,56013,01/01/2023,Points de recharge pour véhicules électriques,7.0
