libelle_departement,code_departement,date,indicateur,valeur
Côtes-d'Armor,22,01/01/2022,Points de recharge pour véhicules électriques,20.0
Côtes-d'Armor,22,01/01/2023,Points de recharge pour véhicules électriques,1120.0
Côtes-d'Armor,22,01/01/2024,Points de recharge pour véhicules électriques,1890.0
Côtes-d'Armor,22,01/01/2025,Points de recharge pour véhicules électriques,2170.0
Finistère,29,01/01/2022,Points de recharge pour véhicules électriques,8.0
Finistère,29,01/01/2023,Points de recharge pour véhicules électriques,1550.0
Finistère,29,01/01/2024,Points de recharge pour véhicules électriques,2598.0
Finistère,29,01/01/2025,Points de recharge pour véhicules électriques,3392.0
Ille-et-Vilaine,35,01/01/2022,Points de recharge pour véhicules électriques,500.0
Ille-et-Vilaine,35,01/01/2023,Points de recharge pour véhicules électriques,1808.0
Ille-et-Vilaine,35,01/01/2024,Points de recharge pour véhicules électriques,1752.0
Ille-et-Vilaine,35,01/01/2025,Points de recharge pour véhicules électriques,3802.0
Morbihan,56,01/01/2022,Points de recharge pour véhicules électriques,0.0
Morbihan,56,01/01/2023,Points de recharge pour véhicules électriques,2022.0
Morbihan,56,01/01/2024,Points de recharge pour véhicules électriques,3076.0
Morbihan,56,01/01/2025,Points de recharge pour véhicules électriques,3530.0
Côtes-d'Armor,22,01/01/2022,Points de recharge pour véhicules électriques pour 1000 habitants,0.0020712300714299
Côtes-d'Armor,22,01/01/2023,Points de recharge pour véhicules électriques pour 1000 habitants,0.7447825952250039
Côtes-d'Armor,22,01/01/2024,Points de recharge pour véhicules électriques pour 1000 habitants,1.1747400623941369
Côtes-d'Armor,22,01/01/2025,Points de recharge pour véhicules électriques pour 1000 habitants,1.237349249680353
Finistère,29,01/01/2022,Points de recharge pour véhicules électriques pour 1000 habitants,0.0009594972234549
Finistère,29,01/01/2023,Points de recharge pour véhicules électriques pour 1000 habitants,0.7887970886453699
Finistère,29,01/01/2024,Points de recharge pour véhicules électriques pour 1000 habitants,1.1804730199261873
Finistère,29,01/01/2025,Points de recharge pour véhicules électriques pour 1000 habitants,1.370921583998017
Ille-et-Vilaine,35,01/01/2022,Points de recharge pour véhicules électriques pour 1000 habitants,0.1676185492508141
Ille-et-Vilaine,35,01/01/2023,Points de recharge pour véhicules électriques pour 1000 habitants,0.4086928358996037
Ille-et-Vilaine,35,01/01/2024,Points de recharge pour véhicules électriques pour 1000 habitants,0.4547182462248961
Ille-et-Vilaine,35,01/01/2025,Points de recharge pour véhicules électriques pour 1000 habitants,0.8892722317036353
Morbihan,56,01/01/2022,Points de recharge pour véhicules électriques pour 1000 habitants,0.0
Morbihan,56,01/01/2023,Points de recharge pour véhicules électriques pour 1000 habitants,1.6393725206751129
Morbihan,56,01/01/2024,Points de recharge pour véhicules électriques pour 1000 habitants,2.0111462849188944
Morbihan,56,01/01/2025,Points de recharge pour véhicules électriques pour 1000 habitants,2.156678198777561
Côtes-d'Armor,22,01/01/2018,Consommation électrique annuelle du territoire (MWh / an) ,380493.75607
Côtes-d'Armor,22,01/01/2019,Consommation électrique annuelle du territoire (MWh / an) ,374726.70371
Côtes-d'Armor,22,01/01/2020,Consommation électrique annuelle du territoire (MWh / an) ,1864210.05657
Côtes-d'Armor,22,01/01/2021,Consommation électrique annuelle du territoire (MWh / an) ,2071746.52497494
Côtes-d'Armor,22,01/01/2022,Consommation électrique annuelle du territoire (MWh / an) ,2029275.01754946
Côtes-d'Armor,22,01/01/2023,Consommation électrique annuelle du territoire (MWh / an) ,1947349.08375
Finistère,29,01/01/2018,Consommation électrique annuelle du territoire (MWh / an) ,823031.26995
Finistère,29,01/01/2019,Consommation électrique annuelle du territoire (MWh / an) ,817907.48087
Finistère,29,01/01/2020,Consommation électrique annuelle du territoire (MWh / an) ,2700566.79998
Finistère,29,01/01/2021,Consommation électrique annuelle du territoire (MWh / an) ,2963958.96912137
Finistère,29,01/01/2022,Consommation électrique annuelle du territoire (MWh / an) ,2922259.44942577
Finistère,29,01/01/2023,Consommation électrique annuelle du territoire (MWh / an) ,2785382.598768
Ille-et-Vilaine,35,01/01/2018,Consommation électrique annuelle du territoire (MWh / an) ,1148658.55009
Ille-et-Vilaine,35,01/01/2019,Consommation électrique annuelle du territoire (MWh / an) ,1174187.09833
Ille-et-Vilaine,35,01/01/2020,Consommation électrique annuelle du territoire (MWh / an) ,3295985.11264
Ille-et-Vilaine,35,01/01/2021,Consommation électrique annuelle du territoire (MWh / an) ,3590380.38067581
Ille-et-Vilaine,35,01/01/2022,Consommation électrique annuelle du territoire (MWh / an) ,3535897.76491948
Ille-et-Vilaine,35,01/01/2023,Consommation électrique annuelle du territoire (MWh / an) ,3415552.321836
Morbihan,56,01/01/2018,Consommation électrique annuelle du territoire (MWh / an) ,445459.01174
Morbihan,56,01/01/2019,Consommation électrique annuelle du territoire (MWh / an) ,429696.60324
Morbihan,56,01/01/2020,Consommation électrique annuelle du territoire (MWh / an) ,2345723.41396
Morbihan,56,01/01/2021,Consommation électrique annuelle du territoire (MWh / an) ,2697416.61873552
Morbihan,56,01/01/2022,Consommation électrique annuelle du territoire (MWh / an) ,2679761.29134941
Morbihan,56,01/01/2023,Consommation électrique annuelle du territoire (MWh / an) ,2583265.646925
Côtes-d'Armor,22,01/01/2010,Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),0.0719362323120637
Côtes-d'Armor,22,01/01/2015,Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),0.0587944374219491
Côtes-d'Armor,22,01/01/2021,Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),0.0592081967281898
Finistère,29,01/01/2010,Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),0.0729414996087085
Finistère,29,01/01/2015,Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),0.0613903645368061
Finistère,29,01/01/2021,Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),0.064848011861768
Ille-et-Vilaine,35,01/01/2010,Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),0.0800995862229763
Ille-et-Vilaine,35,01/01/2015,Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),0.0708698510745329
Ille-et-Vilaine,35,01/01/2021,Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),0.0737040892270789
Morbihan,56,01/01/2010,Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),0.0795200200794604
Morbihan,56,01/01/2015,Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),0.0634758119059904
Morbihan,56,01/01/2021,Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),0.0735665410583765
Côtes-d'Armor,22,O1/01/2010,Artificialisation des espaces NAF (ha),612.813
Côtes-d'Armor,22,O1/01/2011,Artificialisation des espaces NAF (ha),612.8296
Côtes-d'Armor,22,O1/01/2012,Artificialisation des espaces NAF (ha),485.0652
Côtes-d'Armor,22,O1/01/2013,Artificialisation des espaces NAF (ha),474.9223
Côtes-d'Armor,22,O1/01/2014,Artificialisation des espaces NAF (ha),493.8667
Côtes-d'Armor,22,O1/01/2015,Artificialisation des espaces NAF (ha),321.1631
Côtes-d'Armor,22,O1/01/2016,Artificialisation des espaces NAF (ha),360.6848
Côtes-d'Armor,22,O1/01/2017,Artificialisation des espaces NAF (ha),428.4582
Côtes-d'Armor,22,O1/01/2018,Artificialisation des espaces NAF (ha),432.6587
Côtes-d'Armor,22,O1/01/2019,Artificialisation des espaces NAF (ha),401.3513
Côtes-d'Armor,22,O1/01/2020,Artificialisation des espaces NAF (ha),342.4288
Côtes-d'Armor,22,O1/01/2021,Artificialisation des espaces NAF (ha),325.8975
Côtes-d'Armor,22,O1/01/2022,Artificialisation des espaces NAF (ha),259.3297
Côtes-d'Armor,22,O1/01/2023,Artificialisation des espaces NAF (ha),316.2973
Côtes-d'Armor,22,O1/01/2024,Artificialisation des espaces NAF (ha),393.1577
Finistère,29,O1/01/2010,Artificialisation des espaces NAF (ha),553.0692
Finistère,29,O1/01/2011,Artificialisation des espaces NAF (ha),553.0825
Finistère,29,O1/01/2012,Artificialisation des espaces NAF (ha),605.5827
Finistère,29,O1/01/2013,Artificialisation des espaces NAF (ha),586.4865
Finistère,29,O1/01/2014,Artificialisation des espaces NAF (ha),482.9989
Finistère,29,O1/01/2015,Artificialisation des espaces NAF (ha),427.5885
Finistère,29,O1/01/2016,Artificialisation des espaces NAF (ha),359.4978
Finistère,29,O1/01/2017,Artificialisation des espaces NAF (ha),396.4341
Finistère,29,O1/01/2018,Artificialisation des espaces NAF (ha),325.0196
Finistère,29,O1/01/2019,Artificialisation des espaces NAF (ha),409.0695
Finistère,29,O1/01/2020,Artificialisation des espaces NAF (ha),337.50100000000003
Finistère,29,O1/01/2021,Artificialisation des espaces NAF (ha),389.829
Finistère,29,O1/01/2022,Artificialisation des espaces NAF (ha),363.7374
Finistère,29,O1/01/2023,Artificialisation des espaces NAF (ha),389.5622
Finistère,29,O1/01/2024,Artificialisation des espaces NAF (ha),360.4708
Ille-et-Vilaine,35,O1/01/2010,Artificialisation des espaces NAF (ha),672.3132
Ille-et-Vilaine,35,O1/01/2011,Artificialisation des espaces NAF (ha),672.3303
Ille-et-Vilaine,35,O1/01/2012,Artificialisation des espaces NAF (ha),461.3778
Ille-et-Vilaine,35,O1/01/2013,Artificialisation des espaces NAF (ha),614.605
Ille-et-Vilaine,35,O1/01/2014,Artificialisation des espaces NAF (ha),504.3395
Ille-et-Vilaine,35,O1/01/2015,Artificialisation des espaces NAF (ha),586.4675
Ille-et-Vilaine,35,O1/01/2016,Artificialisation des espaces NAF (ha),341.9483
Ille-et-Vilaine,35,O1/01/2017,Artificialisation des espaces NAF (ha),525.0076
Ille-et-Vilaine,35,O1/01/2018,Artificialisation des espaces NAF (ha),496.8911
Ille-et-Vilaine,35,O1/01/2019,Artificialisation des espaces NAF (ha),509.2834
Ille-et-Vilaine,35,O1/01/2020,Artificialisation des espaces NAF (ha),349.3259
Ille-et-Vilaine,35,O1/01/2021,Artificialisation des espaces NAF (ha),551.2929
Ille-et-Vilaine,35,O1/01/2022,Artificialisation des espaces NAF (ha),672.6165
Ille-et-Vilaine,35,O1/01/2023,Artificialisation des espaces NAF (ha),641.2501
Ille-et-Vilaine,35,O1/01/2024,Artificialisation des espaces NAF (ha),433.2379
Morbihan,56,O1/01/2010,Artificialisation des espaces NAF (ha),569.7601
Morbihan,56,O1/01/2011,Artificialisation des espaces NAF (ha),569.7727
Morbihan,56,O1/01/2012,Artificialisation des espaces NAF (ha),644.9037
Morbihan,56,O1/01/2013,Artificialisation des espaces NAF (ha),438.561
Morbihan,56,O1/01/2014,Artificialisation des espaces NAF (ha),422.1609
Morbihan,56,O1/01/2015,Artificialisation des espaces NAF (ha),449.745
Morbihan,56,O1/01/2016,Artificialisation des espaces NAF (ha),377.1692
Morbihan,56,O1/01/2017,Artificialisation des espaces NAF (ha),359.3313
Morbihan,56,O1/01/2018,Artificialisation des espaces NAF (ha),311.7106
Morbihan,56,O1/01/2019,Artificialisation des espaces NAF (ha),340.1216
Morbihan,56,O1/01/2020,Artificialisation des espaces NAF (ha),307.15070000000003
Morbihan,56,O1/01/2021,Artificialisation des espaces NAF (ha),379.6494
Morbihan,56,O1/01/2022,Artificialisation des espaces NAF (ha),296.6261
Morbihan,56,O1/01/2023,Artificialisation des espaces NAF (ha),343.8024
Morbihan,56,O1/01/2024,Artificialisation des espaces NAF (ha),354.4064
Côtes-d'Armor,22,01/01/2022,Linéaire cyclable sécurisé sur le territoire (km),1108.174
Côtes-d'Armor,22,01/01/2023,Linéaire cyclable sécurisé sur le territoire (km),1169.463
Côtes-d'Armor,22,01/01/2024,Linéaire cyclable sécurisé sur le territoire (km),1206.756
Finistère,29,01/01/2022,Linéaire cyclable sécurisé sur le territoire (km),1092.911
Finistère,29,01/01/2023,Linéaire cyclable sécurisé sur le territoire (km),1151.148
Finistère,29,01/01/2024,Linéaire cyclable sécurisé sur le territoire (km),1240.391
Ille-et-Vilaine,35,01/01/2022,Linéaire cyclable sécurisé sur le territoire (km),1685.23
