libelle_epci,code_epci,date,indicateur,valeur
Blavet Bellevue Océan Communauté,245600440,01/01/2010,Émissions de GES tout secteur confondu (TeqCO2/an),116.135703291002
Blavet Bellevue Océan Communauté,245600440,01/01/2018,Émissions de GES tout secteur confondu (TeqCO2/an),117.76636774994
Blavet Bellevue Océan Communauté,245600440,01/01/2020,Émissions de GES tout secteur confondu (TeqCO2/an),107.41821631773
Blavet Bellevue Océan Communauté,245600440,01/01/2022,Émissions de GES tout secteur confondu (TeqCO2/an),99.40479214807
Brest Métropole,242900314,01/01/2010,Émissions de GES tout secteur confondu (TeqCO2/an),1049.8548345315
Brest Métropole,242900314,01/01/2018,Émissions de GES tout secteur confondu (TeqCO2/an),920.9427228109
Brest Métropole,242900314,01/01/2020,Émissions de GES tout secteur confondu (TeqCO2/an),897.45366350675
Brest Métropole,242900314,01/01/2022,Émissions de GES tout secteur confondu (TeqCO2/an),844.5406456361001
Communauté d'agglomération Concarneau Cornouaille Agglomération,242900769,01/01/2010,Émissions de GES tout secteur confondu (TeqCO2/an),362.61188409319
Communauté d'agglomération Concarneau Cornouaille Agglomération,242900769,01/01/2018,Émissions de GES tout secteur confondu (TeqCO2/an),333.46538639964
Communauté d'agglomération Concarneau Cornouaille Agglomération,242900769,01/01/2020,Émissions de GES tout secteur confondu (TeqCO2/an),293.66871379512
Communauté d'agglomération Concarneau Cornouaille Agglomération,242900769,01/01/2022,Émissions de GES tout secteur confondu (TeqCO2/an),292.791993173859
Communauté d'agglomération Dinan Agglomération,200068989,01/01/2010,Émissions de GES tout secteur confondu (TeqCO2/an),762.33727094071
Communauté d'agglomération Dinan Agglomération,200068989,01/01/2018,Émissions de GES tout secteur confondu (TeqCO2/an),727.0922153125
Communauté d'agglomération Dinan Agglomération,200068989,01/01/2020,Émissions de GES tout secteur confondu (TeqCO2/an),658.7650597840238
Communauté d'agglomération Dinan Agglomération,200068989,01/01/2022,Émissions de GES tout secteur confondu (TeqCO2/an),662.165039146
Communauté d'agglomération Fougères Agglomération,200072452,01/01/2010,Émissions de GES tout secteur confondu (TeqCO2/an),533.0870459216
Communauté d'agglomération Fougères Agglomération,200072452,01/01/2018,Émissions de GES tout secteur confondu (TeqCO2/an),578.100620061573
Communauté d'agglomération Fougères Agglomération,200072452,01/01/2020,Émissions de GES tout secteur confondu (TeqCO2/an),535.2581157032
Communauté d'agglomération Fougères Agglomération,200072452,01/01/2022,Émissions de GES tout secteur confondu (TeqCO2/an),516.8447009728
Communauté d'agglomération Golfe du Morbihan - Vannes Agglomération,200067932,01/01/2010,Émissions de GES tout secteur confondu (TeqCO2/an),920.62475690478
Communauté d'agglomération Golfe du Morbihan - Vannes Agglomération,200067932,01/01/2018,Émissions de GES tout secteur confondu (TeqCO2/an),868.9111649273
Communauté d'agglomération Golfe du Morbihan - Vannes Agglomération,200067932,01/01/2020,Émissions de GES tout secteur confondu (TeqCO2/an),787.9606516034
Communauté d'agglomération Golfe du Morbihan - Vannes Agglomération,200067932,01/01/2022,Émissions de GES tout secteur confondu (TeqCO2/an),770.540085516
