libelle_region,code_region,date,indicateur,valeur
Bretagne,53,01/01/2022,Points de recharge pour véhicules électriques,528.0
Bretagne,53,01/01/2023,Points de recharge pour véhicules électriques,6500.0
Bretagne,53,01/01/2024,Points de recharge pour véhicules électriques,9316.0
Bretagne,53,01/01/2025,Points de recharge pour véhicules électriques,12894.0
Bretagne,53,01/01/2022,Points de recharge pour véhicules électriques pour 1000 habitants,0.0471111832169211
Bretagne,53,01/01/2023,Points de recharge pour véhicules électriques pour 1000 habitants,0.8474141310140934
Bretagne,53,01/01/2024,Points de recharge pour véhicules électriques pour 1000 habitants,1.1504521553033338
Bretagne,53,01/01/2025,Points de recharge pour véhicules électriques pour 1000 habitants,1.3624331722784622
Bretagne,53,01/01/2018,Consommation électrique annuelle du territoire (MWh / an) ,2797642.58785
Bretagne,53,01/01/2019,Consommation électrique annuelle du territoire (MWh / an) ,2796517.88615
Bretagne,53,01/01/2020,Consommation électrique annuelle du territoire (MWh / an) ,10206485.38315
Bretagne,53,01/01/2021,Consommation électrique annuelle du territoire (MWh / an) ,11323502.49350764
Bretagne,53,01/01/2022,Consommation électrique annuelle du territoire (MWh / an) ,11167193.52324412
Bretagne,53,01/01/2023,Consommation électrique annuelle du territoire (MWh / an) ,10731549.651279
Bretagne,53,01/01/2010,Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),0.075980225424564
Bretagne,53,01/01/2015,Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),0.0636814783755142
Bretagne,53,01/01/2021,Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),0.0674586883035205
Bretagne,53,O1/01/2010,Artificialisation des espaces NAF (ha),2407.9555
Bretagne,53,O1/01/2011,Artificialisation des espaces NAF (ha),2408.0151
Bretagne,53,O1/01/2012,Artificialisation des espaces NAF (ha),2196.9294
Bretagne,53,O1/01/2013,Artificialisation des espaces NAF (ha),2114.5748
Bretagne,53,O1/01/2014,Artificialisation des espaces NAF (ha),1903.366
Bretagne,53,O1/01/2015,Artificialisation des espaces NAF (ha),1784.9641
Bretagne,53,O1/01/2016,Artificialisation des espaces NAF (ha),1439.3001
Bretagne,53,O1/01/2017,Artificialisation des espaces NAF (ha),1709.2312
Bretagne,53,O1/01/2018,Artificialisation des espaces NAF (ha),1566.28
Bretagne,53,O1/01/2019,Artificialisation des espaces NAF (ha),1659.8258
Bretagne,53,O1/01/2020,Artificialisation des espaces NAF (ha),1336.4064
Bretagne,53,O1/01/2021,Artificialisation des espaces NAF (ha),1646.6688
Bretagne,53,O1/01/2022,Artificialisation des espaces NAF (ha),1592.3097
Bretagne,53,O1/01/2023,Artificialisation des espaces NAF (ha),1690.912
Bretagne,53,O1/01/2024,Artificialisation des espaces NAF (ha),1541.2728
Bretagne,53,01/01/2022,Linéaire cyclable sécurisé sur le territoire (km),5560.381
Bretagne,53,01/01/2023,Linéaire cyclable sécurisé sur le territoire (km),5787.644
Bretagne,53,01/01/2024,Linéaire cyclable sécurisé sur le territoire (km),6134.01
