Indicateur;Nouveau_nom_indicateur;Thématique;Source
Points de recharge pour véhicules électriques;Points de recharge pour véhicules électriques;Transports;Tableau de bord des mobilités durables
Points de recharge pour véhicules électriques pour 1000 habitants;Points de recharge pour véhicules électriques pour 1000 habitants;Transports;Tableau de bord des mobilités durables
Production annuelle d’électricité du territoire (MWh / an);Production annuelle d’électricité du territoire (MWh / an);Energie;OEB
Production annuelle d’ENR du territoire hors hydroélectrique (MWh / an);Production annuelle d’ENR du territoire hors hydroélectrique (MWh / an);Energie;OEB
Part de la Production annuelle d’ENR du territoire hors hydroélectrique dans la production annuelle d’énergie (%);Part de la Production annuelle d’ENR du territoire hors hydroélectrique dans la production annuelle d’énergie (%);Energie;OEB
Consommation électrique annuelle du territoire (MWh / an) ;Consommation électrique annuelle du territoire (MWh / an) ;Energie;OEB
Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%);Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%);Transports;Tableau de bord des mobilités durables
Artificialisation des espaces NAF (ha);Artificialisation des espaces NAF (ha);Bâtiment;OEB
Linéaire cyclable sécurisé sur le territoire (km);Linéaire cyclable sécurisé sur le territoire (km);Transports;Tableau de bord des mobilités durables
Linéaire cyclable sécurisé pour 1000 habitants (km/1000hab);Linéaire cyclable sécurisé pour 1000 habitants (km/1000hab);Transports;Tableau de bord des mobilités durables
Indicateur de fragmentation mesh des milieux naturels (sans unité);Indicateur de fragmentation mesh des milieux naturels (sans unité);Bâtiment;Cerema
GES_total;Emissions de GES (TeqCO2/an);Transverse;OEB  / Terristory
CO2_direct;Emissions de CO2 direct (TeqCO2/an);Transverse;OEB  / Terristory
CO2_indirect;Emissions de CO2 indirect (TeqCO2/an);Transverse;OEB  / Terristory
CH4;Emissions de CH4 (TeqCO2/an);Transverse;OEB  / Terristory
Fluorés;Emissions de Fluorés (TeqCO2/an);Transverse;OEB  / Terristory
N2O;Emissions de N2O (TeqCO2/an);Transverse;OEB  / Terristory
GES_Dechets;Emissions de GES du secteur des déchets (TeqCO2/an);Économie Circulaire;OEB  / Terristory
CO2_direct_Dechets;Emissions de CO2 direct du secteur des déchets (TeqCO2/an);Économie Circulaire;OEB  / Terristory
CH4_Dechets;Emissions de CH4 du secteur des déchets (TeqCO2/an);Économie Circulaire;OEB  / Terristory
Fluores_Dechets;Emissions de Fluorés du secteur des déchets (TeqCO2/an);Économie Circulaire;OEB  / Terristory
N2O_Dechets;Emissions de Fluorés (TeqCO2/an);Économie Circulaire;OEB  / Terristory
GES_Residentiel;Emissions de GES du secteur résidentiel (TeqCO2/an);Bâtiment;OEB  / Terristory
CO2_direct_Residentiel;Emissions de CO2 direct du secteur résidentiel (TeqCO2/an);Bâtiment;OEB  / Terristory
CO2_indirect_Residentiel;Emissions de CO2 indirect du secteur résidentiel (TeqCO2/an);Bâtiment;OEB  / Terristory
CH4_Residentiel;Emissions de CH4 du secteur résidentiel (TeqCO2/an);Bâtiment;OEB  / Terristory
Fluores_Residentiel;Emissions de Fluorés du secteur résidentiel (TeqCO2/an);Bâtiment;OEB  / Terristory
N2O_Residentiel;Emissions de N2O du secteur résidentiel (TeqCO2/an);Bâtiment;OEB  / Terristory
GES_Transports;Emissions de GES du secteur des transports (TeqCO2/an);Transports;OEB  / Terristory
CO2_direct_Transports;Emissions de CO2 direct du secteur des transports (TeqCO2/an);Transports;OEB  / Terristory
CO2_indirect_Transports;Emissions de CO2 indirect du secteur des transports (TeqCO2/an);Transports;OEB  / Terristory
CH4_Transports;Emissions de CH4 du secteur des transports (TeqCO2/an);Transports;OEB  / Terristory
Fluores_Transports;Emissions de Fluorés du secteur des transports (TeqCO2/an);Transports;OEB  / Terristory
N2O_Transports;Emissions de N2O du secteur des transports (TeqCO2/an);Transports;OEB  / Terristory
GES_Tertiaire;Emissions de GES du secteur des transports (TeqCO2/an);Bâtiment;OEB  / Terristory
CO2_direct_Tertiaire;Emissions de CO2 direct du secteur tertiaire (TeqCO2/an);Bâtiment;OEB  / Terristory
CO2_indirect_Tertiaire;Emissions de CO2 indirect du secteur tertiaire (TeqCO2/an);Bâtiment;OEB  / Terristory
CH4_Tertiaire;Emissions de CH4 du secteur tertiaire (TeqCO2/an);Bâtiment;OEB  / Terristory
Fluores_Tertiaire;Emissions de Fluorés du secteur tertiaire (TeqCO2/an);Bâtiment;OEB  / Terristory
